numero_socio,genero_normalizado
1,F
2,F
3,F
4,F
5,M
6,F
7,F
8,M
9,M
10,M
11,F
12,M
13,M
14,M
15,F
16,M
17,M
18,F
19,F
20,F
21,M
22,M
23,F
24,F
25,M
26,M
27,F
28,M
29,F
30,M
31,F
32,M
33,M
34,M
35,F
36,M
37,M
38,F
39,M
40,M
41,F
42,F
43,M
44,F
45,M
46,F
47,M
48,F
49,M
50,F
51,M
52,M
53,F
54,M
55,F
56,M
57,M
58,F
59,M
60,M
61,F
62,M
63,M
64,M
65,F
66,F
67,F
68,F
69,M
70,F
71,M
72,M
73,F
74,F
75,F
76,M
77,M
78,F
79,M
80,F
81,M
82,M
83,F
84,M
85,M
86,M
87,M
88,F
89,M
90,F
91,M
92,F
93,F
94,M
95,M
96,M
97,M
98,M
99,M
100,F
101,M
102,F
103,F
104,M
105,M
106,F
107,M
108,F
109,M
110,M
111,M
112,M
113,F
114,F
115,F
116,M
117,M
118,F
119,M
120,F
121,F
122,M
123,F
124,F
125,M
126,F
127,M
128,F
129,F
130,F
131,F
132,M
133,F
134,F
135,F
136,F
137,F
138,M
139,M
140,F
141,F
142,M
143,F
144,F
145,M
146,M
147,F
148,F
149,M
150,M
151,M
152,M
153,M
154,M
155,M
156,F
157,M
158,F
159,F
160,F
161,M
162,M
163,M
164,F
165,F
166,M
167,F
168,F
169,F
170,F
171,M
172,F
173,M
174,M
175,F
176,F
177,F
178,M
179,F
180,F
181,M
182,F
183,M
184,M
185,M
186,F
187,M
188,F
189,M
190,F
191,F
192,M
193,F
194,F
195,F
196,F
197,F
198,M
199,M
200,F
201,F
202,M
203,F
204,M
205,M
206,F
207,M
208,F
209,F
210,M
211,F
212,M
213,F
214,F
215,M
216,M
217,M
218,M
219,F
220,F
221,F
222,M
223,F
224,F
225,M
226,F
227,M
228,F
229,M
230,F
231,F
232,F
233,F
234,M
235,M
236,M
237,F
238,F
239,F
240,F
241,M
242,F
243,M
244,F
245,M
246,F
247,M
248,F
249,M
250,M
251,F
252,M
253,F
254,M
255,F
256,F
257,F
258,M
259,F
260,F
261,M
262,M
263,F
264,F
265,F
266,M
267,F
268,F
269,M
270,F
271,M
272,F
273,M
274,F
275,M
276,M
277,F
278,F
279,M
280,M
281,M
282,M
283,F
284,F
285,M
286,F
287,M
288,F
289,F
290,M
291,F
292,F
293,M
294,M
295,F
296,F
297,F
298,M
299,F
300,F
301,M
302,F
303,M
304,F
305,F
306,F
307,F
308,M
309,M
310,M
311,F
312,M
313,M
314,M
315,F
316,M
317,F
318,M
319,F
320,F
321,M
322,F
323,M
324,M
325,F
326,F
327,F
328,M
329,M
330,M
331,M
332,F
333,F
334,F
335,M
336,M
337,F
338,F
339,M
340,M
341,F
342,F
343,F
344,F
345,M
346,F
347,M
348,F
349,M
350,F
351,M
352,F
353,M
354,M
355,M
356,F
357,F
358,M
359,M
360,M
361,F
362,F
363,F
364,M
365,F
366,F
367,F
368,M
369,F
370,M
371,F
372,M
373,F
374,M
375,F
376,M
377,M
378,F
379,F
380,M
381,M
382,F
383,M
384,F
385,F
386,M
387,M
388,F
389,M
390,M
391,F
392,M
393,F
394,M
395,F
396,F
397,M
398,F
399,M
400,F
401,M
402,F
403,F
404,F
405,F
406,F
407,M
408,M
409,F
410,F
411,M
412,F
413,F
414,M
415,F
416,F
417,F
418,M
419,M
420,F
421,F
422,M
423,F
424,M
425,F
426,F
427,F
428,F
429,M
430,F
431,M
432,M
433,F
434,M
435,F
436,M
437,M
438,M
439,F
440,F
441,F
442,M
443,M
444,F
445,F
446,F
447,M
448,M
449,F
450,M
451,F
452,M
453,M
454,F
455,M
456,F
457,F
458,M
459,M
460,F
461,M
462,M
463,F
464,M
465,F
466,M
467,F
468,M
469,M
470,F
471,M
472,M
473,F
474,F
475,F
476,M
477,F
478,M
479,F
480,F
481,M
482,M
483,M
484,F
485,M
486,M
487,M
488,F
489,M
490,M
491,F
492,M
493,F
494,F
495,M
496,M
497,F
498,F
499,M
500,M
501,F
502,M
503,M
504,F
505,F
506,F
507,M
508,F
509,F
510,M
511,F
512,F
513,F
514,M
515,F
516,F
517,F
518,F
519,M
520,F
521,M
522,M
523,F
524,F
525,M
526,M
527,F
528,F
529,F
530,F
531,F
532,M
533,F
534,M
535,M
536,F
537,F
538,M
539,M
540,M
541,F
542,M
543,M
544,M
545,F
546,M
547,F
548,M
549,F
550,M
551,M
552,F
553,F
554,F
555,M
556,F
557,M
558,M
559,F
560,M
561,M
562,F
563,F
564,F
565,F
566,F
567,M
568,M
569,F
570,M
571,M
572,F
573,F
574,F
575,F
576,F
577,M
578,F
579,F
580,M
581,F
582,F
583,F
584,F
585,M
586,F
587,F
588,M
589,F
590,M
591,M
592,M
593,F
594,M
595,F
596,F
597,M
598,M
599,M
600,F
601,F
602,M
603,F
604,F
605,M
606,F
607,F
608,M
609,F
610,M
611,F
612,F
613,M
614,F
615,M
616,F
617,M
618,M
619,F
620,F
621,M
622,F
623,M
624,M
625,F
626,F
627,M
628,M
629,F
630,F
631,F
632,F
633,F
634,M
635,F
636,M
637,F
638,F
639,M
640,F
641,M
642,M
643,F
644,M
645,F
646,M
647,F
648,F
649,M
650,F
651,M
652,M
653,M
654,F
655,F
656,M
657,F
658,M
659,F
660,M
661,F
662,F
663,M
664,M
665,F
666,M
667,M
668,F
669,F
670,M
671,M
672,M
673,F
674,M
675,M
676,F
677,M
678,M
679,F
680,F
681,M
682,M
683,M
684,M
685,F
686,M
687,F
688,M
689,F
690,M
691,F
692,M
693,F
694,F
695,F
696,F
697,F
698,M
699,F
700,M
701,M
702,F
703,F
704,M
705,F
706,M
707,F
708,M
709,M
710,M
711,M
712,F
713,F
714,M
715,F
716,F
717,M
718,M
719,M
720,F
721,M
722,F
723,F
724,F
725,F
726,M
727,M
728,F
729,M
730,F
731,M
732,F
733,M
734,M
735,M
736,F
737,F
738,M
739,F
740,F
741,F
742,F
743,F
744,F
745,F
746,F
747,M
748,M
749,F
750,M
751,M
752,F
753,M
754,F
755,M
756,F
757,M
758,M
759,F
760,F
761,M
762,F
763,M
764,M
765,F
766,F
767,M
768,M
769,M
770,M
771,M
772,F
773,F
774,F
775,F
776,M
777,M
778,M
779,M
780,F
781,M
782,F
783,F
784,M
785,F
786,F
787,M
788,M
789,F
790,M
791,M
792,F
793,F
794,M
795,F
796,M
797,M
798,F
799,F
800,M
801,M
802,F
803,M
804,M
805,F
806,M
807,M
808,F
809,M
810,F
811,F
812,M
813,F
814,F
815,F
816,F
817,F
818,M
819,M
820,M
821,F
822,M
823,F
824,F
825,M
826,M
827,M
828,F
829,M
830,F
831,M
832,M
833,M
834,M
835,F
836,F
837,M
838,F
839,M
840,M
841,F
842,F
843,M
844,M
845,M
846,M
847,M
848,F
849,F
850,M
851,M
852,F
853,F
854,F
855,F
856,F
857,M
858,F
859,F
860,F
861,F
862,F
863,M
864,F
865,M
866,M
867,M
868,M
869,M
870,M
871,F
872,M
873,M
874,F
875,M
876,F
877,F
878,F
879,M
880,F
881,M
882,F
883,M
884,F
885,F
886,F
887,F
888,M
889,M
890,F
891,F
892,F
893,M
894,M
895,F
896,F
897,M
898,F
899,F
900,F
901,M
902,F
903,F
905,F
906,M
907,F
908,F
909,F
910,F
911,F
912,M
913,F
914,M
915,M
916,F
917,M
918,M
919,F
920,M
921,M
922,M
923,F
924,M
925,F
926,M
927,F
928,M
929,F
930,M
931,F
932,F
933,F
934,M
935,F
936,M
937,F
938,M
939,F
940,M
941,M
942,F
943,F
944,M
945,F
946,F
947,F
948,F
949,M
950,F
951,F
952,F
953,F
954,F
955,M
956,M
957,F
958,F
959,M
960,M
961,F
962,M
963,F
964,F
965,M
966,M
967,M
968,M
969,F
970,F
971,F
972,F
973,F
974,M
975,F
976,F
977,M
978,F
979,F
980,M
981,M
982,F
983,M
984,F
985,M
986,F
987,F
988,F
989,M
990,M
991,F
992,F
993,F
994,M
995,F
996,M
997,M
998,F
999,M
1000,F
1001,M
1002,F
1003,M
1004,F
9999,F
